Word,Total occurrences,Sentences containing the word,Documents
effectively,6,"•  For years, Nunn-Lugar programs have been effectively upgrading security at sites in six countries across the former Soviet Union

•  is not going to hold together this country indefinitely ? that it will be up to them to form a viable government that can effectively run and secure Iraq

•  It makes it impossible to respond effectively to crises -- whether it's the HIV/AIDS pandemic or malaria or crippling drought

•  But instead of effectively targeting this aid, we have seen some of the largest waste, fraud, and abuse of foreign aid in American history

•  To reach such a solution, we must communicate clearly and effectively to the factions in Iraq that the days of asking, urging, and waiting for them to take control of their own country are coming to an end

•  And so the question we need to be asking ourselves today is, what is the future of this program? With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?","• doc4.txt

• doc5.txt

• doc6.txt"
questions,6,"• The answers to these questions will require sustained involvement by the Executive Branch, Congress, non-governmental organizations, and the international community

•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction

•  And everywhere I went I'd get two questions:

• We are here tonight because we believe that in this country, we have it within our power to say ""yes"" to those questions - to forge our own destiny - to begin the world anew

•  Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship

•  No matter how bad it gets, we are told to wait, and not ask questions","• doc3.txt

• doc4.txt

• doc5.txt

• doc6.txt"
important,6,"• For my part, I would suggest three important elements that should be included in such a discussion

• It's important for senior officials to go and visit these sites, to check their progress and shortcomings; to see what's working and what's not

•  This lack of access for Africa's agriculture and commodities has restricted an important engine of economic growth

•  You enjoy a robust civil society; a press that's free, fair, and honest; and a strong partnership with my own country that has resulted in critical cooperation on terrorist issues, real strides in fighting disease and poverty, and an important alliance on fostering regional stability

• In the years ahead, this should become an increasing priority for the Nunn-Lugar program, the Congress, and the Russians, who are already taking important steps to help implement these programs

• One of the most important steps is for Russia to permit the access and transparency necessary to deal with the threat","• doc4.txt

• doc6.txt"
nunn-lugar,6,"•  And it means more sustained engagement, including more senior-level visits to Nunn-Lugar program sites

•  For years, Nunn-Lugar programs have been effectively upgrading security at sites in six countries across the former Soviet Union

• First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States

•  We need to be sure that Nunn-Lugar is increasingly focused on these very real non-proliferation and bioterrorism threats

• In the years ahead, this should become an increasing priority for the Nunn-Lugar program, the Congress, and the Russians, who are already taking important steps to help implement these programs

•  Outstanding career officials who run the Nunn-Lugar program -- people like Col",• doc6.txt
interests,6,"•  interests are protected

•  ""Let us not be blind to our differences--but let us also direct attention to our common interests and to the means by which those differences can be resolved

•  And the way to create good jobs is when the rules of a society are transparent - when there's a clear and advertised set of laws and regulations regarding how to start a business, what it takes to own property, how to go about getting a loan - there is less of a chance that some corrupt bureaucrat will make up his own rules that suit only his interests

•  The cynics, and the lobbyists, and the special interests who've turned our government into a game only they can afford to play

• These are serious times for our country, and with their votes two weeks ago, Americans demanded a feasible strategy with defined goals in Iraq ? a strategy no longer driven by ideology and politics, but one that is based on a realistic assessment of the sobering facts on the ground and our interests in the region

•  But too many times, after the election is over, and the confetti is swept away, all those promises fade from memory, and the lobbyists and the special interests move in, and people turn away, disappointed as before, left to struggle on their own","• doc1.txt

• doc4.txt

• doc5.txt

• doc6.txt"
leadership,6,"•  Change happens because the American people demand it - because they rise up and insist on new ideas and new leadership, a new politics for a new time

•  Our best hope for success is to use the tools we have ? military, financial, diplomatic ? to pressure the Iraqi leadership to finally come to a political agreement between the warring factions that can create some sense of stability in the country and bring this conflict under control

•  Enough of the failed leadership

•  Thank you Roger Hickey and Bob Borosage for bringing us all together today and thank you for your leadership in the cause of a more progressive America

• Americans everywhere are desperate for leadership

•  What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems","• doc1.txt

• doc2.txt

• doc3.txt

• doc5.txt"
businesses,6,"• "" Yes, government must lead on energy independence, but each of us must do our part to make our homes and businesses more efficient

•  We can turn this crisis of global warming into a moment of opportunity for innovation, and job creation, and an incentive for businesses that will serve as a model for the world

•  Instead of opening businesses and engaging in commerce, people come to rely on patronage and payback as a means of advancing

• It's a promise that says the market should reward drive and innovation and generate growth, but that businesses should live up to their responsibilities to create American jobs, look out for American workers, and play by the rules of the road

• Change means a tax code that doesn't reward the lobbyists who wrote it, but the American workers and small businesses who deserve it

• I will eliminate capital gains taxes for the small businesses and the start-ups that will create the high-wage, high-tech jobs of tomorrow","• doc1.txt

• doc2.txt

• doc4.txt"
throughout,5,"• Throughout American history, there have been moments that call on us to meet the challenges of an uncertain world, and pay whatever price is required to secure our freedom

• Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War

• First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States

•  But neither Iran nor Syria want to see a security vacuum in Iraq filled with chaos, terrorism, refugees, and violence, as it could have a destabilizing effect throughout the entire region ? and within their own countries

• Throughout the Cold War, the Soviet Union was engaged in a massive undertaking in the field of germ warfare","• doc5.txt

• doc6.txt"
especially,5,"• Fortunately, the success of Cooperative Threat Reduction - especially in securing nuclear weapons - serves as a model of how we can do this

• Third, Kenya is hurt from factors unique to Africa's geography and place in the world -- disease, distance from viable markets and especially terms of trade

•  And so we must realize that the freedoms FDR once spoke of ? especially freedom from want and freedom from fear ? do not just come from deposing a tyrant and handing out ballots; they are only realized once the personal and material security of a people is ensured as well

• The second part of our strategy should be to couple this phased redeployment with a more effective plan that puts the Iraqi security forces in the lead, intensifies and focuses our efforts to train those forces, and expands the numbers of our personnel ? especially special forces ? who are deployed with Iraqi as units advisers

• Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest - a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton","• doc2.txt

• doc4.txt

• doc5.txt

• doc6.txt"
community,5,"• The answers to these questions will require sustained involvement by the Executive Branch, Congress, non-governmental organizations, and the international community

•  To begin with, I discovered the warmth and sense of community that the people of Kenya possess - their sense of hopefulness even in the face of great difficulty

•  And we will keep our promise to every young American - if you commit to serving your community or your country, we will make sure you can afford a college education

•  But a group of churches had offered me a job as a community organizer for $13,000 a year

•  I had just finished three years of work as a community organizer in low-income neighborhoods of Chicago, and was about to enroll in law school","• doc1.txt

• doc2.txt

• doc4.txt

• doc6.txt"
proliferation,5,"• But because of the size, secrecy, and scope of the Soviet biological weapons program, we are still dangerously behind in dealing with this proliferation threat

•  Rather, the question is what strategies, imperfect though they may be, are most likely to achieve the best outcome in Iraq, one that will ultimately put us on a more effective course to deal with international terrorism, nuclear proliferation, and other critical threats to our security

•  I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease

• First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States

•  We need to be sure that Nunn-Lugar is increasingly focused on these very real non-proliferation and bioterrorism threats

• In a way that balances the needs of science and security, more needs to be done to bring these materials - as well as other sources that can be used to construct improvised nuclear weapons and radiological devices -- under control and dramatically reduce the proliferation threat they pose","• doc2.txt

• doc5.txt

• doc6.txt"
effective,5,"•  commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ? in a public and unambiguous way ? for such continued support

• Besides the devastation they can cause to a civilian population, biological agents can also be effective in asymmetrical warfare against U

•  Rather, the question is what strategies, imperfect though they may be, are most likely to achieve the best outcome in Iraq, one that will ultimately put us on a more effective course to deal with international terrorism, nuclear proliferation, and other critical threats to our security

• The second part of our strategy should be to couple this phased redeployment with a more effective plan that puts the Iraqi security forces in the lead, intensifies and focuses our efforts to train those forces, and expands the numbers of our personnel ? especially special forces ? who are deployed with Iraqi as units advisers

•  The redeployment could be temporarily suspended if the parties in Iraq reach an effective political arrangement that stabilizes the situation and they offer us a clear and compelling rationale for maintaining certain troop levels","• doc5.txt

• doc6.txt"
difficult,5,"•  While they are often difficult to use, they are easy to transport, hard to detect, and, as we saw in Kiev, not always well secured

•  They are the soul-trying times our forbearers spoke of, when the ease of complacency and self-interest must give way to the more difficult task of rendering judgment on what is best for the nation and for posterity, and then acting on that judgment ? making the hard choices and sacrifices necessary to uphold our most deeply held values and ideals

•  It will be difficult

•  Well, I thought about it, and then I did what every wise man does when faced with a difficult decision: I prayed, and I asked my wife

• Of course, in order to convince the various factions to embark on the admittedly difficult task of disarming their militias, the Iraqi government must also make headway on reforming the institutions that support the military and the police","• doc3.txt

• doc5.txt

• doc6.txt"
necessary,5,"• In each case, what has been required to meet the challenges we face has been good judgment and clear vision from our leaders, and a fundamental seriousness and engagement on the part of the American people ? a willingness on the part of each of us to look past what is petty and small and sensational, and look ahead to what is necessary and purposeful

•  They are the soul-trying times our forbearers spoke of, when the ease of complacency and self-interest must give way to the more difficult task of rendering judgment on what is best for the nation and for posterity, and then acting on that judgment ? making the hard choices and sacrifices necessary to uphold our most deeply held values and ideals

•  We would make clear in such a scenario that the United States would not be maintaining permanent military bases in Iraq, but would do what was necessary to help prevent a total collapse of the Iraqi state and further polarization of Iraqi society

•  So if the government found ways to downsize the bureaucracy - to cut out the positions that aren't necessary or useful - it could use the extra money to increase the salary of other government officials

• One of the most important steps is for Russia to permit the access and transparency necessary to deal with the threat","• doc4.txt

• doc5.txt

• doc6.txt"
differences,5,"• Instead, it is that American spirit - that American promise - that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend

•  ""Let us not be blind to our differences--but let us also direct attention to our common interests and to the means by which those differences can be resolved

• That beneath all the differences of race and region, faith and station, we are one people

•  I know there are differences on same-sex marriage, but surely we can agree that our gay and lesbian brothers and sisters deserve to visit the person they love in the hospital and to live lives free of discrimination

•  And all the troops in the world won’t be able to force Shia, Sunni, and Kurd to sit down at a table, resolve their differences, and forge a lasting peace","• doc1.txt

• doc2.txt

• doc5.txt

• doc6.txt"
distracted,5,"•  The conflict has left us distracted from containing the world’s growing threats ? in North Korea, in Iran, and in Afghanistan

• The overwhelming presence of our troops, our intelligence, and our resources in Iraq has stretched our military to the breaking point and distracted us from the growing threats of a dangerous world

• We need to keep these lessons in mind as we think about the broader threats America now faces ? threats we haven’t paid nearly enough attention to because we have been distracted in Iraq

•  We're distracted from our real failures, and told to blame the other party, or gay people, or immigrants

•  What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems","• doc1.txt

• doc5.txt"
republican,5,"• For over two decades, he's subscribed to that old, discredited Republican philosophy - give more and more to those with the most and hope that prosperity trickles down to everyone else

•  The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect

•  Senators, Republican and Democrat, including myself, had also voted in favor of a resolution demanding that 2006 be a year of significant transition in Iraq

• And so I am eager to have this argument not just with the President, but the entire Republican Party over what this country is about

•  I've worked with Republican Senator Dick Lugar to pass a law that will secure and destroy some of the world's deadliest, unguarded weapons","• doc1.txt

• doc2.txt

• doc3.txt

• doc5.txt"
sectarian,5,"•  forces, no matter how large, can prevent an escalation of widespread sectarian killing

•  We must instead turn our focus to those concrete objectives that are possible to attain ? namely, preventing Iraq from becoming what Afghanistan once was, maintaining our influence in the Middle East, and forging a political settlement to stop the sectarian violence so that our troops can come home

•  But we need to also move towards more condition-based aid packages where economic assistance is contingent upon the ability of Iraqis to make measurable progress on reducing sectarian violence and forging a lasting political settlement

•  Sectarian violence has reached an all-time high, and 365,000 Iraqis have fled their homes since the bombing of a Shia mosque in Samarra last February

•  strategy must address the problem of sectarian militias in Iraq",• doc5.txt
commanders,5,"•  commanders believe that a further reduction would put American troops in danger

•  commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ? in a public and unambiguous way ? for such continued support

•  It’s not clear that these troop levels are sustainable for a significant period of time, and according to our commanders on the ground, adding American forces will only relieve the Iraqis from doing more on their own

•  In just the past three weeks, he has ? and I’m quoting from a New York Times article here ? “rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq

•  He should then work with our military commanders to map out the best plan for such a redeployment and determine precise levels and dates",• doc5.txt
continent,5,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict

• In many ways, then, my family's life reflects some of the contradictions of Kenya, and indeed, the African continent as a whole

•  Like many nations across this continent, where Kenya is failing is in its ability to create a government that is transparent and accountable

•  And we know how much this land is blessed - just as the entire African continent is blessed - with great gifts and riches

•  A foreign policy that gives hope and opportunity to the people of this great continent",• doc4.txt
affordable,5,"• Now is the time to finally keep the promise of affordable, accessible health care for every single American

• Let it be said that we are the party of affordable, accessible health care for all Americans

•  That in a global economy that's more connected and more competitive - we are the party that will guarantee every American an affordable, world-class, top-notch, life-long education - from early childhood to high school, from college to on-the-job training

•  Let's make college more affordable, and let's invest in scientific research, and let's lay down broadband lines through the heart of inner cities and rural towns all across America

•  And I'll invest 150 billion dollars over the next decade in affordable, renewable sources of energy - wind power and solar power and the next generation of biofuels; an investment that will lead to new industries and five million new jobs that pay well and can't ever be outsourced","• doc1.txt

• doc2.txt

• doc3.txt"
middle-class,5,"•  And let's allow our unions and their organizers to lift up this country's middle-class again

•  How she saw unions rise up and a middle-class prosper, and watched immigrants leave distant shores in search of an idea known as America

• In a century just six years old, our faith has been shaken by war and terror, disaster and despair, threats to the middle-class dream, and scandal and corruption in our government

•  Why else would he define middle-class as someone making under five million dollars a year? How else could he propose hundreds of billions in tax breaks for big corporations and oil companies but not one penny of tax relief to more than one hundred million Americans? How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?

•  Because in an economy like this, the last thing we should do is raise taxes on the middle-class","• doc1.txt

• doc2.txt

• doc3.txt"
america's,5,"•  This too is part of America's promise - the promise of a democracy where we can find the strength and grace to bridge divides and unite in common effort

• Individual responsibility and mutual responsibility - that's the essence of America's promise

• My friends, we meet here today at a time where we find ourselves at a crossroads in America's history

• And Democrats, we must also admit that fulfilling America's promise will require more than just money

• And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad","• doc2.txt

• doc3.txt"
individual,5,"•  That we're better off if we dismantle it - if we divvy it up into individual tax breaks, hand 'em out, and encourage everyone to go buy your own health care, your own retirement security, your own child care, their own schools, your own private security force, your own roads, their own levees

• Individual responsibility and mutual responsibility - that's the essence of America's promise

•  That we have individual responsibility, but we also have collective responsibility to each other

•  Yes, our greatness as a nation has depended on individual initiative, on a belief in the free market

• It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well","• doc2.txt

• doc3.txt"
organizations,4,"• The answers to these questions will require sustained involvement by the Executive Branch, Congress, non-governmental organizations, and the international community

•  And as we speak, members of Al Qaeda and other terrorists organizations are aggressively pursuing weapons of mass destruction, which they would use without hesitation

• The final lesson is that in an interconnected world, the defeat of international terrorism ? and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations

•  This force could help prevent the conflict in Iraq from becoming a wider war, consolidate gains in Northern Iraq, reassure allies in the Gulf, allow our troops to strike directly at al Qaeda wherever it may exist, and demonstrate to international terrorist organizations that they have not driven us from the region","• doc5.txt

• doc6.txt"
materials,4,"• On our trip, we saw two areas where this is possible: elimination of heavy conventional weapons, and interdiction efforts to help stop the flow of dangerous materials across borders

• In a way that balances the needs of science and security, more needs to be done to bring these materials - as well as other sources that can be used to construct improvised nuclear weapons and radiological devices -- under control and dramatically reduce the proliferation threat they pose

• We've heard the horror stories - attempts by rogue states to recruit former Soviet weapons scientists; terrorists shopping for weapons grade materials on the black market

•  Not to mention the environmental and public health and safety catastrophe that could come from a failure to store and transport these materials safely and securely",• doc6.txt
independent,4,"• Let it be said that we are the party of an energy independent America

• First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States

• The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent

•  By focusing on building strong, independent institutions - like an anti-corruption commission with real authority - rather than cults of personality, they make a contribution to their country that will last longer than their own lives","• doc2.txt

• doc3.txt

• doc4.txt

• doc6.txt"
consequences,4,"•  It is not enough for him to simply lay out benchmarks for progress with no consequences attached for failing to meet them

•  For a scientist or other employee to simply walk out of the lab with enough material to construct a weapon of mass destruction is far too easy, and the consequences would be far too devastating

•  I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences

•  The President’s decision to go to war in Iraq has had disastrous consequences for Afghanistan -- we have seen a fierce Taliban offensive, a spike in terrorist attacks, and a narcotrafficking problem spiral out of control","• doc5.txt

• doc6.txt"
direction,4,"•  They are longing for direction

•  And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program

• It's a time where you can go to any town hall or street corner or coffee shop and hear people express the same anxiety about the future; hear them convey the same uncertainty about the direction we're headed as a country

• And you will determine the direction of this country in the 21st century - whether the hard work of the many is lost to the selfish desires of a few, or whether you build an open, honest, stronger Kenya where everyone rises together","• doc3.txt

• doc4.txt

• doc6.txt"
difference,4,"•  By destroying these inventories, this is one place we could be making more of a difference

• The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent

•  In fact, one recent survey showed that corruption in Kenya costs local firms 6% of their revenues, the difference between good-paying jobs in Kenya or somewhere else

•  That even though we may get involved out of civic obligation every few years, we don't always have confidence that government can make a difference in our lives","• doc2.txt

• doc3.txt

• doc4.txt

• doc6.txt"
relationship,4,"• -Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started

•  For any of these efforts that I've mentioned to work as we move forward, we must also think critically and strategically about Washington's relationship with Moscow

•  Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship

• One way we could strengthen this relationship is by thinking about the Russians as more of a partner and less of a subordinate in the Cooperative Threat Reduction effort",• doc6.txt
officials,4,"•  A year in which well-respected Republicans like John Warner, former Administration officials like Colin Powell, generals who have served in Iraq, and intelligence experts have all said that what we are doing is not working

• It's important for senior officials to go and visit these sites, to check their progress and shortcomings; to see what's working and what's not

•  Outstanding career officials who run the Nunn-Lugar program -- people like Col

•  So if the government found ways to downsize the bureaucracy - to cut out the positions that aren't necessary or useful - it could use the extra money to increase the salary of other government officials","• doc4.txt

• doc5.txt

• doc6.txt"
university,4,"•  I began to understand and appreciate the distance he had traveled - from being a boy herding goats to a student at the University of Hawaii and Harvard University to the respected economist that he was upon his return to Kenya

• But, when I think about what is at stake I am reminded by a quote from the late President Kennedy given in a speech at American University in 1963 about threats posed by the Soviet Union

•  My sister, Auma, was teaching that year at this university, and so I came to stay with her for a month","• doc4.txt

• doc6.txt"
alliances,4,"• Let it be said that we will conduct a smart foreign policy that battles the forces of terrorism and fundamentalism wherever they may exist by matching the might of our military with the power of our diplomacy and the strength of our alliances

•  You can't truly stand up for Georgia when you've strained our oldest alliances

•  But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe

•  It was true for those who built democracy’s arsenal to vanquish fascism, and who then built a series of alliances and a world order that would ultimately defeat communism","• doc1.txt

• doc2.txt

• doc3.txt

• doc5.txt"
diplomatic,4,"•  Our best hope for success is to use the tools we have ? military, financial, diplomatic ? to pressure the Iraqi leadership to finally come to a political agreement between the warring factions that can create some sense of stability in the country and bring this conflict under control

•  This doesn’t mean abandoning our values and ideals; wherever we can, it’s in our interest to help foster democracy through the diplomatic and economic resources at our disposal

• And this has been true for those of us who looked on the rubble and ashes of 9/11, and made a solemn pledge that such an atrocity would never again happen on United States soil; that we would do whatever it took to hunt down those responsible, and use every tool at our disposal ? diplomatic, economic, and military ? to root out both the agents of terrorism and the conditions that helped breed it

•  But we should know that our success in doing so is enhanced by engaging our allies so that we receive the crucial diplomatic, military, intelligence, and financial support that can lighten our load and add legitimacy to our actions",• doc5.txt
fundamental,4,"• In each case, what has been required to meet the challenges we face has been good judgment and clear vision from our leaders, and a fundamental seriousness and engagement on the part of the American people ? a willingness on the part of each of us to look past what is petty and small and sensational, and look ahead to what is necessary and purposeful

• The fundamentals we use to measure economic strength are whether we are living up to that fundamental promise that has made this country great - a promise that is the only reason I am standing here tonight

• That's the promise of America - the idea that we are responsible for ourselves, but that we also rise or fall as one nation; the fundamental belief that I am my brother's keeper; I am my sister's keeper

•  It is simply not productive for us not to engage in discussions with Iran and Syria on an issue of such fundamental importance to all of us","• doc2.txt

• doc5.txt"
significant,4,"•  It’s not clear that these troop levels are sustainable for a significant period of time, and according to our commanders on the ground, adding American forces will only relieve the Iraqis from doing more on their own

•  Senators, Republican and Democrat, including myself, had also voted in favor of a resolution demanding that 2006 be a year of significant transition in Iraq

• What we have seen instead is a year of significant deterioration

•  There are no options that do not carry significant risks",• doc5.txt
administration,4,"•  I don't think this administration is full of stupid people - I think there are a lot of smart folks in there

• So far, Congress has given the Administration unprecedented flexibility in determining how to spend more than $20 billion dollars in Iraq

•  A year in which well-respected Republicans like John Warner, former Administration officials like Colin Powell, generals who have served in Iraq, and intelligence experts have all said that what we are doing is not working

• And today, as my call for a time frame to remove our troops from Iraq has been echoed by the Iraqi government and even the Bush Administration, even after we learned that Iraq has a $79 billion surplus while we're wallowing in deficits, John McCain stands alone in his stubborn refusal to end a misguided war","• doc2.txt

• doc3.txt

• doc5.txt"
daughters,4,"• Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest - a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton

•  They have seen their sons and daughters killed or wounded in the streets of Fallujah

• And now is the time to keep the promise of equal pay for an equal day's work, because I want my daughters to have exactly the same opportunities as your sons

•  It's a promise I make to my daughters when I tuck them in at night, and a promise that you make to yours - a promise that has led immigrants to cross oceans and pioneers to travel west; a promise that led workers to picket lines, and women to reach for the ballot","• doc2.txt

• doc5.txt"
commitment,4,"•  In the absence of a genuine commitment on the part of all of the factions in Iraq to deal with this issue, it is doubtful that a unified Iraqi government can function for long, and it is doubtful that U

•  commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ? in a public and unambiguous way ? for such continued support

• Perhaps most importantly, some of these troops could be redeployed to Afghanistan, where our lack of focus and commitment of resources has led to an increasing deterioration of the security situation there

• As Commander-in-Chief, I will never hesitate to defend this nation, but I will only send our troops into harm's way with a clear mission and a sacred commitment to give them the equipment they need in battle and the care and benefits they deserve when they come home","• doc2.txt

• doc5.txt"
continued,4,"• The third part of our strategy should be to link continued economic aid in Iraq with the existence of tangible progress toward a political settlement

•  It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans

•  commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ? in a public and unambiguous way ? for such continued support

•  The Kenyan people are crying out for real change, and whether one voted orange or banana in last year's referendum, the message that many Kenyans seemed to be sending was one of dissatisfaction with the pace of reform, and real frustration with continued tolerance of corruption at high levels","• doc1.txt

• doc4.txt

• doc5.txt"
sometimes,4,"•  His ideas about how Kenya should progress often put him at odds with the politics of tribe and patronage, and because he spoke his mind, sometimes to a fault, he ended up being fired from his job and prevented from finding work in the country for many, many years

• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict

• I know that honoring their memory and making that freedom real may seem like an impossible task - an effort bigger than you can imagine - but sometimes all it takes to move us there is doing what little you can to right the wrongs you see

•  When we went upcountry, we traveled by train and matatu, with chickens and collard greens and sometimes babies placed in my lap",• doc4.txt
discovered,4,"• And most importantly for me, I discovered the story of my father's life, and the story of his father before him

• And yet, I discovered that for all his education, my father's life ended up being filled with disappointments

•  To begin with, I discovered the warmth and sense of community that the people of Kenya possess - their sense of hopefulness even in the face of great difficulty

•  I discovered the beauty of the land, a beauty that haunts you long after you've left",• doc4.txt
independence,4,"• There is no doubt that what Kenyans have accomplished with this independence is both impressive and inspiring

• "" Yes, government must lead on energy independence, but each of us must do our part to make our homes and businesses more efficient

•  When African nations were just gaining independence, industrialized nations had decades of experience building their domestic economies and navigating the international financial system

•  In early 1960's, as Kenya was gaining its independence, its gross national product was not very different from that of South Korea","• doc2.txt

• doc4.txt"
obligation,4,"• It's a promise that says each of us has the freedom to make of our own lives what we will, but that we also have the obligation to treat each other with dignity and respect

• Now is the time to finally meet our moral obligation to provide every child a world-class education, because it will take nothing less to compete in the global economy

• As a Senator from the United States, I believe that my country, and other nations, have an obligation and self-interest in being full partners with Kenya and with Africa

•  That even though we may get involved out of civic obligation every few years, we don't always have confidence that government can make a difference in our lives","• doc2.txt

• doc3.txt

• doc4.txt"
accountable,4,"• You will decide if your leaders will be held accountable, or if you will look the other way

•  I've seen it in Washington, when we worked across party lines to open up government and hold lobbyists more accountable, to give better care for our veterans and keep nuclear weapons out of terrorist hands

•  Like many nations across this continent, where Kenya is failing is in its ability to create a government that is transparent and accountable

• An accountable, transparent government can break this cycle","• doc2.txt

• doc4.txt"
elections,4,"• But elections are not enough

• Among other things, this recognition resulted in the coalition that came to power in the December elections of 2002

•  In a true democracy, it is what happens between elections that is the true measure of how a government treats its people

•  My own city of Chicago has been the home of some of the most corrupt local politics in American history, from patronage machines to questionable elections",• doc4.txt
opportunities,4,"• And I've wondered - if she is lucky enough to live as long as 105-year-old Marguerite Lewis, if she someday has the chance to look back across the twenty-first century, what will she see? Will she see a country that is freer and kinder, more tolerant and more just than the one she grew up in? Will she see greater opportunities for every citizen of this country? Will all her childhood hopes be fulfilled?

• But while corruption is a problem we all share, here in Kenya it is a crisis - a crisis that's robbing an honest people of the opportunities they have fought for - the opportunity they deserve

• What's worse - corruption can also provide opportunities for those who would harness the fear and hatred of others to their agenda and ambitions

• And now is the time to keep the promise of equal pay for an equal day's work, because I want my daughters to have exactly the same opportunities as your sons","• doc2.txt

• doc3.txt

• doc4.txt"
